LOCATION,Country,SEX,Sex,AGE,Age,TIME,Time,Population,Flag Codes,Flags
DNK,Denmark,T,Total,TOTAL,Total,2016,2016,5724456,,
DNK,Denmark,T,Total,TOTAL,Total,2017,2017,5760694,,
DNK,Denmark,T,Total,TOTAL,Total,2018,2018,5789957,,
DNK,Denmark,T,Total,TOTAL,Total,2019,2019,5814461,,
DNK,Denmark,T,Total,TOTAL,Total,2020,2020,5825337,,
FIN,Finland,T,Total,TOTAL,Total,2005,2005,5246100,,
FIN,Finland,T,Total,TOTAL,Total,2006,2006,5266266,,
FIN,Finland,T,Total,TOTAL,Total,2007,2007,5288719,,
FIN,Finland,T,Total,TOTAL,Total,2008,2008,5313398,,
FIN,Finland,T,Total,TOTAL,Total,2009,2009,5338867,,
FIN,Finland,T,Total,TOTAL,Total,2010,2010,5363341,,
FIN,Finland,T,Total,TOTAL,Total,2011,2011,5388272,,
FIN,Finland,T,Total,TOTAL,Total,2012,2012,5413967,,
FIN,Finland,T,Total,TOTAL,Total,2013,2013,5438975,,
FIN,Finland,T,Total,TOTAL,Total,2014,2014,5461507,,
FIN,Finland,T,Total,TOTAL,Total,2015,2015,5479528,,
FIN,Finland,T,Total,TOTAL,Total,2016,2016,5495297,,
FIN,Finland,T,Total,TOTAL,Total,2017,2017,5508209,,
FIN,Finland,T,Total,TOTAL,Total,2018,2018,5515525,,
FIN,Finland,T,Total,TOTAL,Total,2019,2019,5521605,,
FIN,Finland,T,Total,TOTAL,Total,2020,2020,5529545,,
FRA,France,T,Total,TOTAL,Total,2005,2005,62958328,,
FRA,France,T,Total,TOTAL,Total,2006,2006,63393406,,
FRA,France,T,Total,TOTAL,Total,2007,2007,63781275,,
FRA,France,T,Total,TOTAL,Total,2008,2008,64133174,,
FRA,France,T,Total,TOTAL,Total,2009,2009,64458715,,
FRA,France,T,Total,TOTAL,Total,2010,2010,64773169,,
FRA,France,T,Total,TOTAL,Total,2011,2011,65087317,,
FRA,France,T,Total,TOTAL,Total,2012,2012,65402998,,
FRA,France,T,Total,TOTAL,Total,2013,2013,65735961,,
FRA,France,T,Total,TOTAL,Total,2014,2014,66276671,,
FRA,France,T,Total,TOTAL,Total,2015,2015,66512558,,
FRA,France,T,Total,TOTAL,Total,2016,2016,66688563,,
FRA,France,T,Total,TOTAL,Total,2017,2017,66883314,,
FRA,France,T,Total,TOTAL,Total,2018,2018,67068133,,
FRA,France,T,Total,TOTAL,Total,2019,2019,67215667,,
FRA,France,T,Total,TOTAL,Total,2020,2020,67347238,,
DEU,Germany,T,Total,TOTAL,Total,2005,2005,82469421,,
DEU,Germany,T,Total,TOTAL,Total,2006,2006,82376447,,
DEU,Germany,T,Total,TOTAL,Total,2007,2007,82266373,,
DEU,Germany,T,Total,TOTAL,Total,2008,2008,82110097,,
DEU,Germany,T,Total,TOTAL,Total,2009,2009,81902308,,
DEU,Germany,T,Total,TOTAL,Total,2010,2010,81776936,,
DEU,Germany,T,Total,TOTAL,Total,2011,2011,80274981,,
DEU,Germany,T,Total,TOTAL,Total,2012,2012,80425826,,
DEU,Germany,T,Total,TOTAL,Total,2013,2013,80645605,,
DEU,Germany,T,Total,TOTAL,Total,2014,2014,80982495,,
DEU,Germany,T,Total,TOTAL,Total,2015,2015,81686608,,
DEU,Germany,T,Total,TOTAL,Total,2016,2016,82348669,,
DEU,Germany,T,Total,TOTAL,Total,2017,2017,82657000,,
DEU,Germany,T,Total,TOTAL,Total,2018,2018,82905788,,
DEU,Germany,T,Total,TOTAL,Total,2019,2019,83092958,,
DEU,Germany,T,Total,TOTAL,Total,2020,2020,83160874,,
GRC,Greece,T,Total,TOTAL,Total,2005,2005,10987316,,
GRC,Greece,T,Total,TOTAL,Total,2006,2006,11020366,,
GRC,Greece,T,Total,TOTAL,Total,2007,2007,11048466,,
GRC,Greece,T,Total,TOTAL,Total,2008,2008,11077839,,
GRC,Greece,T,Total,TOTAL,Total,2009,2009,11107017,,
GRC,Greece,T,Total,TOTAL,Total,2010,2010,11121344,,
GRC,Greece,T,Total,TOTAL,Total,2011,2011,11104900,,
GRC,Greece,T,Total,TOTAL,Total,2012,2012,11045010,,
GRC,Greece,T,Total,TOTAL,Total,2013,2013,10965209,,
GRC,Greece,T,Total,TOTAL,Total,2014,2014,10892415,,
GRC,Greece,T,Total,TOTAL,Total,2015,2015,10820883,,
GRC,Greece,T,Total,TOTAL,Total,2016,2016,10775966,,
GRC,Greece,T,Total,TOTAL,Total,2017,2017,10754679,,
GRC,Greece,T,Total,TOTAL,Total,2018,2018,10732877,,
GRC,Greece,T,Total,TOTAL,Total,2019,2019,10721584,,
GRC,Greece,T,Total,TOTAL,Total,2020,2020,10707972,,
HUN,Hungary,T,Total,TOTAL,Total,2005,2005,10087064,,
HUN,Hungary,T,Total,TOTAL,Total,2006,2006,10071374,,
HUN,Hungary,T,Total,TOTAL,Total,2007,2007,10055778,,
HUN,Hungary,T,Total,TOTAL,Total,2008,2008,10038186,,
HUN,Hungary,T,Total,TOTAL,Total,2009,2009,10022647,,
HUN,Hungary,T,Total,TOTAL,Total,2010,2010,10000020,,
HUN,Hungary,T,Total,TOTAL,Total,2011,2011,9958824,,
HUN,Hungary,T,Total,TOTAL,Total,2012,2012,9920364,,
HUN,Hungary,T,Total,TOTAL,Total,2013,2013,9893083,,
HUN,Hungary,T,Total,TOTAL,Total,2014,2014,9866466,,
HUN,Hungary,T,Total,TOTAL,Total,2015,2015,9843025,,
HUN,Hungary,T,Total,TOTAL,Total,2016,2016,9814026,,
HUN,Hungary,T,Total,TOTAL,Total,2017,2017,9787969,,
HUN,Hungary,T,Total,TOTAL,Total,2018,2018,9775566,,
HUN,Hungary,T,Total,TOTAL,Total,2019,2019,9771142,,
HUN,Hungary,T,Total,TOTAL,Total,2020,2020,9750153,,
ISL,Iceland,T,Total,TOTAL,Total,2005,2005,296734,,
ISL,Iceland,T,Total,TOTAL,Total,2006,2006,303784,,
ISL,Iceland,T,Total,TOTAL,Total,2007,2007,311567,,
ISL,Iceland,T,Total,TOTAL,Total,2008,2008,317404,,
ISL,Iceland,T,Total,TOTAL,Total,2009,2009,318501,,
ISL,Iceland,T,Total,TOTAL,Total,2010,2010,318044,,
ISL,Iceland,T,Total,TOTAL,Total,2011,2011,319011,,
ISL,Iceland,T,Total,TOTAL,Total,2012,2012,320723,,
ISL,Iceland,T,Total,TOTAL,Total,2013,2013,323763,,
ISL,Iceland,T,Total,TOTAL,Total,2014,2014,327379,,
ISL,Iceland,T,Total,TOTAL,Total,2015,2015,330818,,
ISL,Iceland,T,Total,TOTAL,Total,2016,2016,335435,,
ISL,Iceland,T,Total,TOTAL,Total,2017,2017,343399,,
ISL,Iceland,T,Total,TOTAL,Total,2018,2018,352722,,
ISL,Iceland,T,Total,TOTAL,Total,2019,2019,360558,,
ISL,Iceland,T,Total,TOTAL,Total,2020,2020,366462,,
IRL,Ireland,T,Total,TOTAL,Total,2005,2005,4133839,,
IRL,Ireland,T,Total,TOTAL,Total,2006,2006,4232929,,
IRL,Ireland,T,Total,TOTAL,Total,2007,2007,4375842,,
IRL,Ireland,T,Total,TOTAL,Total,2008,2008,4485070,,
IRL,Ireland,T,Total,TOTAL,Total,2009,2009,4533395,,
IRL,Ireland,T,Total,TOTAL,Total,2010,2010,4554763,,
IRL,Ireland,T,Total,TOTAL,Total,2011,2011,4574888,,
IRL,Ireland,T,Total,TOTAL,Total,2012,2012,4593697,,
IRL,Ireland,T,Total,TOTAL,Total,2013,2013,4614669,,
IRL,Ireland,T,Total,TOTAL,Total,2014,2014,4645440,,
IRL,Ireland,T,Total,TOTAL,Total,2015,2015,4687787,,
IRL,Ireland,T,Total,TOTAL,Total,2016,2016,4739597,,
IRL,Ireland,T,Total,TOTAL,Total,2017,2017,4792490,,
IRL,Ireland,T,Total,TOTAL,Total,2018,2018,4857015,,
IRL,Ireland,T,Total,TOTAL,Total,2019,2019,4921496,,
IRL,Ireland,T,Total,TOTAL,Total,2020,2020,4977443,,
ITA,Italy,T,Total,TOTAL,Total,2005,2005,58166684,,
ITA,Italy,T,Total,TOTAL,Total,2006,2006,58399863,,
ITA,Italy,T,Total,TOTAL,Total,2007,2007,58756247,,
ITA,Italy,T,Total,TOTAL,Total,2008,2008,59211183,,
ITA,Italy,T,Total,TOTAL,Total,2009,2009,59555456,,
ITA,Italy,T,Total,TOTAL,Total,2010,2010,59819402,,
ITA,Italy,T,Total,TOTAL,Total,2011,2011,60026844,,
ITA,Italy,T,Total,TOTAL,Total,2012,2012,60191243,,
ITA,Italy,T,Total,TOTAL,Total,2013,2013,60311616,,
ITA,Italy,T,Total,TOTAL,Total,2014,2014,60320708,,
ITA,Italy,T,Total,TOTAL,Total,2015,2015,60229599,,
ITA,Italy,T,Total,TOTAL,Total,2016,2016,60115220,,
ITA,Italy,T,Total,TOTAL,Total,2017,2017,60002254,,
ITA,Italy,T,Total,TOTAL,Total,2018,2018,59877216,,
ITA,Italy,T,Total,TOTAL,Total,2019,2019,59729077,,
ITA,Italy,T,Total,TOTAL,Total,2020,2020,59449527,,
JPN,Japan,T,Total,TOTAL,Total,2005,2005,127767994,,
JPN,Japan,T,Total,TOTAL,Total,2006,2006,127900515,,
JPN,Japan,T,Total,TOTAL,Total,2007,2007,128032743,,
JPN,Japan,T,Total,TOTAL,Total,2008,2008,128083960,,
JPN,Japan,T,Total,TOTAL,Total,2009,2009,128031514,,
JPN,Japan,T,Total,TOTAL,Total,2010,2010,128057352,,
JPN,Japan,T,Total,TOTAL,Total,2011,2011,127834233,,
JPN,Japan,T,Total,TOTAL,Total,2012,2012,127592657,,
JPN,Japan,T,Total,TOTAL,Total,2013,2013,127413888,,
JPN,Japan,T,Total,TOTAL,Total,2014,2014,127237150,,
JPN,Japan,T,Total,TOTAL,Total,2015,2015,127094745,,
JPN,Japan,T,Total,TOTAL,Total,2016,2016,126932772,,
JPN,Japan,T,Total,TOTAL,Total,2017,2017,126706210,,
JPN,Japan,T,Total,TOTAL,Total,2018,2018,126443180,,
JPN,Japan,T,Total,TOTAL,Total,2019,2019,126166948,,
JPN,Japan,T,Total,TOTAL,Total,2020,2020,125708000,,
KOR,Korea,T,Total,TOTAL,Total,2005,2005,48184561,,
KOR,Korea,T,Total,TOTAL,Total,2006,2006,48438292,,
KOR,Korea,T,Total,TOTAL,Total,2007,2007,48683638,,
KOR,Korea,T,Total,TOTAL,Total,2008,2008,49054708,,
KOR,Korea,T,Total,TOTAL,Total,2009,2009,49307835,,
KOR,Korea,T,Total,TOTAL,Total,2010,2010,49554112,,
KOR,Korea,T,Total,TOTAL,Total,2011,2011,49936638,,
KOR,Korea,T,Total,TOTAL,Total,2012,2012,50199853,,
KOR,Korea,T,Total,TOTAL,Total,2013,2013,50428893,,
KOR,Korea,T,Total,TOTAL,Total,2014,2014,50746659,,
KOR,Korea,T,Total,TOTAL,Total,2015,2015,51014947,,
KOR,Korea,T,Total,TOTAL,Total,2016,2016,51217803,,
KOR,Korea,T,Total,TOTAL,Total,2017,2017,51361911,,
KOR,Korea,T,Total,TOTAL,Total,2018,2018,51606633,,
KOR,Korea,T,Total,TOTAL,Total,2019,2019,51709098,,
KOR,Korea,T,Total,TOTAL,Total,2020,2020,51780579,,
LUX,Luxembourg,T,Total,TOTAL,Total,2005,2005,465152,,
LUX,Luxembourg,T,Total,TOTAL,Total,2006,2006,472641,,
LUX,Luxembourg,T,Total,TOTAL,Total,2007,2007,479992,,
LUX,Luxembourg,T,Total,TOTAL,Total,2008,2008,488647,,
LUX,Luxembourg,T,Total,TOTAL,Total,2009,2009,497783,,
LUX,Luxembourg,T,Total,TOTAL,Total,2010,2010,506953,,
LUX,Luxembourg,T,Total,TOTAL,Total,2011,2011,518351,,
LUX,Luxembourg,T,Total,TOTAL,Total,2012,2012,530952,,
LUX,Luxembourg,T,Total,TOTAL,Total,2013,2013,543358,,
LUX,Luxembourg,T,Total,TOTAL,Total,2014,2014,556322,,
LUX,Luxembourg,T,Total,TOTAL,Total,2015,2015,569605,,
LUX,Luxembourg,T,Total,TOTAL,Total,2016,2016,583459,,
LUX,Luxembourg,T,Total,TOTAL,Total,2017,2017,596337,,
LUX,Luxembourg,T,Total,TOTAL,Total,2018,2018,607950,,
LUX,Luxembourg,T,Total,TOTAL,Total,2019,2019,620003,,
LUX,Luxembourg,T,Total,TOTAL,Total,2020,2020,630413,,
MEX,Mexico,T,Total,TOTAL,Total,2005,2005,105669369,,
MEX,Mexico,T,Total,TOTAL,Total,2006,2006,107155391,,
MEX,Mexico,T,Total,TOTAL,Total,2007,2007,108744845,,
MEX,Mexico,T,Total,TOTAL,Total,2008,2008,110405454,,
MEX,Mexico,T,Total,TOTAL,Total,2009,2009,112095388,,
MEX,Mexico,T,Total,TOTAL,Total,2010,2010,113748671,,
MEX,Mexico,T,Total,TOTAL,Total,2011,2011,115367452,,
MEX,Mexico,T,Total,TOTAL,Total,2012,2012,116935670,,
MEX,Mexico,T,Total,TOTAL,Total,2013,2013,118453929,,
MEX,Mexico,T,Total,TOTAL,Total,2014,2014,119936411,,
MEX,Mexico,T,Total,TOTAL,Total,2015,2015,121347800,,
MEX,Mexico,T,Total,TOTAL,Total,2016,2016,122715165,,
MEX,Mexico,T,Total,TOTAL,Total,2017,2017,124041731,,
MEX,Mexico,T,Total,TOTAL,Total,2018,2018,125327797,,
MEX,Mexico,T,Total,TOTAL,Total,2019,2019,126577691,,
MEX,Mexico,T,Total,TOTAL,Total,2020,2020,127792286,,
NLD,Netherlands,T,Total,TOTAL,Total,2005,2005,16319871,,
NLD,Netherlands,T,Total,TOTAL,Total,2006,2006,16346096,,
NLD,Netherlands,T,Total,TOTAL,Total,2007,2007,16381696,,
NLD,Netherlands,T,Total,TOTAL,Total,2008,2008,16445590,,
NLD,Netherlands,T,Total,TOTAL,Total,2009,2009,16530387,,
NLD,Netherlands,T,Total,TOTAL,Total,2010,2010,16615390,,
NLD,Netherlands,T,Total,TOTAL,Total,2011,2011,16693074,,
NLD,Netherlands,T,Total,TOTAL,Total,2012,2012,16754963,,
NLD,Netherlands,T,Total,TOTAL,Total,2013,2013,16804430,,
NLD,Netherlands,T,Total,TOTAL,Total,2014,2014,16865008,,
NLD,Netherlands,T,Total,TOTAL,Total,2015,2015,16939925,,
NLD,Netherlands,T,Total,TOTAL,Total,2016,2016,17030314,,
NLD,Netherlands,T,Total,TOTAL,Total,2017,2017,17131295,,
NLD,Netherlands,T,Total,TOTAL,Total,2018,2018,17231622,,
NLD,Netherlands,T,Total,TOTAL,Total,2019,2019,17344876,,
NLD,Netherlands,T,Total,TOTAL,Total,2020,2020,17441500,,
NZL,New Zealand,T,Total,TOTAL,Total,2005,2005,4133900,,
NZL,New Zealand,T,Total,TOTAL,Total,2006,2006,4184600,,
NZL,New Zealand,T,Total,TOTAL,Total,2007,2007,4223800,,
NZL,New Zealand,T,Total,TOTAL,Total,2008,2008,4259800,,
NZL,New Zealand,T,Total,TOTAL,Total,2009,2009,4302600,,
NZL,New Zealand,T,Total,TOTAL,Total,2010,2010,4350700,,
NZL,New Zealand,T,Total,TOTAL,Total,2011,2011,4384000,,
NZL,New Zealand,T,Total,TOTAL,Total,2012,2012,4408100,,
NZL,New Zealand,T,Total,TOTAL,Total,2013,2013,4442100,,
NZL,New Zealand,T,Total,TOTAL,Total,2014,2014,4516500,,
NZL,New Zealand,T,Total,TOTAL,Total,2015,2015,4609400,,
NZL,New Zealand,T,Total,TOTAL,Total,2016,2016,4714100,,
NZL,New Zealand,T,Total,TOTAL,Total,2017,2017,4813600,,
NZL,New Zealand,T,Total,TOTAL,Total,2018,2018,4900600,,
NZL,New Zealand,T,Total,TOTAL,Total,2019,2019,4979200,,
NZL,New Zealand,T,Total,TOTAL,Total,2020,2020,5093600,,
NOR,Norway,T,Total,TOTAL,Total,2005,2005,4623293,,
NOR,Norway,T,Total,TOTAL,Total,2006,2006,4660673,,
NOR,Norway,T,Total,TOTAL,Total,2007,2007,4709156,,
NOR,Norway,T,Total,TOTAL,Total,2008,2008,4768215,,
NOR,Norway,T,Total,TOTAL,Total,2009,2009,4828716,,
NOR,Norway,T,Total,TOTAL,Total,2010,2010,4889253,,
NOR,Norway,T,Total,TOTAL,Total,2011,2011,4953089,,
NOR,Norway,T,Total,TOTAL,Total,2012,2012,5018574,,
NOR,Norway,T,Total,TOTAL,Total,2013,2013,5080171,,
NOR,Norway,T,Total,TOTAL,Total,2014,2014,5137427,,
NOR,Norway,T,Total,TOTAL,Total,2015,2015,5189898,,
NOR,Norway,T,Total,TOTAL,Total,2016,2016,5236152,,
NOR,Norway,T,Total,TOTAL,Total,2017,2017,5276965,,
NOR,Norway,T,Total,TOTAL,Total,2018,2018,5311916,,
NOR,Norway,T,Total,TOTAL,Total,2019,2019,5347893,,
NOR,Norway,T,Total,TOTAL,Total,2020,2020,5379472,,
POL,Poland,T,Total,TOTAL,Total,2005,2005,38161313,,
POL,Poland,T,Total,TOTAL,Total,2006,2006,38132277,,
POL,Poland,T,Total,TOTAL,Total,2007,2007,38115967,,
POL,Poland,T,Total,TOTAL,Total,2008,2008,38115909,,
POL,Poland,T,Total,TOTAL,Total,2009,2009,38153389,,
POL,Poland,T,Total,TOTAL,Total,2010,2010,38516689,,
POL,Poland,T,Total,TOTAL,Total,2011,2011,38525670,,
POL,Poland,T,Total,TOTAL,Total,2012,2012,38533789,,
POL,Poland,T,Total,TOTAL,Total,2013,2013,38502396,,
POL,Poland,T,Total,TOTAL,Total,2014,2014,38483957,,
POL,Poland,T,Total,TOTAL,Total,2015,2015,38454576,,
POL,Poland,T,Total,TOTAL,Total,2016,2016,38426809,,
POL,Poland,T,Total,TOTAL,Total,2017,2017,38422346,,
POL,Poland,T,Total,TOTAL,Total,2018,2018,38413139,,
POL,Poland,T,Total,TOTAL,Total,2019,2019,38386476,,
POL,Poland,T,Total,TOTAL,Total,2020,2020,38354173,,
PRT,Portugal,T,Total,TOTAL,Total,2005,2005,10503330,,
PRT,Portugal,T,Total,TOTAL,Total,2006,2006,10522288,,
PRT,Portugal,T,Total,TOTAL,Total,2007,2007,10542963.5,,
PRT,Portugal,T,Total,TOTAL,Total,2008,2008,10558176.5,,
PRT,Portugal,T,Total,TOTAL,Total,2009,2009,10568246.5,,
PRT,Portugal,T,Total,TOTAL,Total,2010,2010,10573100,,
PRT,Portugal,T,Total,TOTAL,Total,2011,2011,10557559.5,,
PRT,Portugal,T,Total,TOTAL,Total,2012,2012,10514843.5,,
PRT,Portugal,T,Total,TOTAL,Total,2013,2013,10457295,,
PRT,Portugal,T,Total,TOTAL,Total,2014,2014,10401061.5,,
PRT,Portugal,T,Total,TOTAL,Total,2015,2015,10358076,,
PRT,Portugal,T,Total,TOTAL,Total,2016,2016,10325451.5,,
PRT,Portugal,T,Total,TOTAL,Total,2017,2017,10300300,,
PRT,Portugal,T,Total,TOTAL,Total,2018,2018,10283822,,
PRT,Portugal,T,Total,TOTAL,Total,2019,2019,10286263,,
PRT,Portugal,T,Total,TOTAL,Total,2020,2020,10297080.5,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2005,2005,5387285,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2006,2006,5391184,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2007,2007,5397766,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2008,2008,5406972,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2009,2009,5418374,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2010,2010,5431024,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2011,2011,5398384,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2012,2012,5407579,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2013,2013,5413392.5,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2014,2014,5418649,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2015,2015,5423800.5,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2016,2016,5430797.5,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2017,2017,5439231.5,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2018,2018,5446770.5,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2019,2019,5454147,,
SVK,Slovak Republic,T,Total,TOTAL,Total,2020,2020,5458827,,
ESP,Spain,T,Total,TOTAL,Total,2005,2005,43662613,,
ESP,Spain,T,Total,TOTAL,Total,2006,2006,44360521,,
ESP,Spain,T,Total,TOTAL,Total,2007,2007,45236004,,
ESP,Spain,T,Total,TOTAL,Total,2008,2008,45983169,,
ESP,Spain,T,Total,TOTAL,Total,2009,2009,46367550,,
ESP,Spain,T,Total,TOTAL,Total,2010,2010,46562483,,
ESP,Spain,T,Total,TOTAL,Total,2011,2011,46736257,,
ESP,Spain,T,Total,TOTAL,Total,2012,2012,46766403,,
ESP,Spain,T,Total,TOTAL,Total,2013,2013,46593236,,
ESP,Spain,T,Total,TOTAL,Total,2014,2014,46455123,,
ESP,Spain,T,Total,TOTAL,Total,2015,2015,46410149,,
ESP,Spain,T,Total,TOTAL,Total,2016,2016,46449874,,
ESP,Spain,T,Total,TOTAL,Total,2017,2017,46532869,,
ESP,Spain,T,Total,TOTAL,Total,2018,2018,46728814,,
ESP,Spain,T,Total,TOTAL,Total,2019,2019,47105358,,
ESP,Spain,T,Total,TOTAL,Total,2020,2020,47351567,,
